Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
07-08-2015,Boruto: Naruto the Movie,211.07,996.00,7.70,ja,"Animation, Action, Comedy"
13-11-2002,Harry Potter and the Chamber of Secrets,210.84,17901.00,7.70,en,"Adventure, Fantasy"
12-02-2020,Sonic the Hedgehog,210.75,7559.00,7.40,en,"Action, Science Fiction, Comedy, Family"
27-10-2017,Coco,210.53,15355.00,8.20,en,"Family, Animation, Fantasy, Music, Comedy, Adventure"
21-06-2017,Ava,210.44,130.00,6.00,fr,Drama
15-10-2014,Fury,210.26,9757.00,7.50,en,"War, Drama, Action"
12-08-2021,Don't Breathe 2,209.06,1490.00,7.40,en,"Thriller, Horror"
01-10-2021,Matando Cabos 2: La Máscara del Máscara,209.02,70.00,7.80,es,"Action, Comedy, Adventure"
03-12-2020,Monster Hunter,208.74,2460.00,6.80,en,"Action, Fantasy, Adventure"
06-12-2014,The Last: Naruto the Movie,208.37,1139.00,7.90,ja,"Action, Romance, Animation"
05-07-2017,Spider-Man: Homecoming,207.82,18174.00,7.40,en,"Action, Adventure, Science Fiction, Drama"
11-02-2022,Bigbug,207.03,176.00,5.40,fr,"Science Fiction, Comedy"
01-05-2002,Spider-Man,206.38,15336.00,7.20,en,"Fantasy, Action"
24-04-2019,Avengers: Endgame,205.31,20521.00,8.30,en,"Adventure, Science Fiction, Action"
21-07-2021,Old,205.16,2288.00,6.60,en,"Thriller, Mystery, Horror"
28-09-2011,Real Steel,203.84,6561.00,6.90,en,"Action, Science Fiction, Drama"
11-02-2022,Love and Leashes,203.74,68.00,6.30,ko,"Romance, Comedy"
11-04-2019,After,203.01,6973.00,7.20,en,"Romance, Drama"
30-06-2021,The Forever Purge,202.70,1652.00,7.30,en,"Horror, Action, Thriller"
11-02-2022,Tall Girl 2,202.01,127.00,6.00,en,"Comedy, Drama, Romance"
17-02-2022,Dog,200.25,32.00,8.30,en,"Drama, Comedy"
12-12-2007,I Am Legend,199.25,13042.00,7.20,en,"Drama, Science Fiction, Thriller"
04-08-2007,Naruto Shippuden the Movie,198.01,418.00,7.20,ja,"Animation, Action, Fantasy"
10-02-2021,Tom & Jerry,197.72,1948.00,7.00,en,"Comedy, Family, Animation"
10-02-2022,Against the Ice,195.99,117.00,7.00,en,"Adventure, History, Drama"
12-08-2021,An Egg Rescue,194.62,295.00,8.10,es,"Animation, Comedy"
16-11-2005,Harry Potter and the Goblet of Fire,193.46,16947.00,7.80,en,"Adventure, Fantasy, Family"
11-02-2021,Pretty Guardian Sailor Moon Eternal The Movie Part 2,192.92,102.00,8.10,ja,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance"
29-07-2021,Demonic,192.39,109.00,4.80,en,"Horror, Thriller"
24-11-2021,Far From the Tree,192.33,194.00,8.10,en,"Animation, Family"
09-07-2020,Black Water: Abyss,191.72,312.00,5.10,en,"Horror, Thriller, Adventure, Mystery"
11-12-2020,"Yes, No, or Maybe Half?",191.59,17.00,6.70,ja,"Animation, Drama, Romance"
14-08-2020,The SpongeBob Movie: Sponge on the Run,191.12,2436.00,7.60,en,"Family, Animation, Fantasy, Adventure, Comedy"
06-12-2018,Spider-Man: Into the Spider-Verse,190.78,10951.00,8.40,en,"Action, Adventure, Animation, Science Fiction"
31-05-2004,Harry Potter and the Prisoner of Azkaban,189.77,17607.00,8.00,en,"Adventure, Fantasy"
03-03-2021,The Vault,189.58,555.00,7.10,en,"Crime, Action, Thriller"
09-03-2022,The Adam Project,189.25,2.00,6.00,en,"Science Fiction, Adventure, Comedy"
09-02-2016,Deadpool,189.21,26390.00,7.60,en,"Action, Adventure, Comedy"
22-10-2021,The Harder They Fall,188.87,611.00,6.70,en,Western
01-11-2001,"Monsters, Inc.",188.76,15255.00,7.80,en,"Animation, Comedy, Family"
09-02-2021,Ainbo: Spirit of the Amazon,188.48,285.00,7.10,en,"Adventure, Animation, Family, Fantasy"
07-12-2021,Don't Look Up,188.40,4819.00,7.20,en,"Comedy, Drama, Science Fiction"
15-06-2017,Cars 3,186.62,4416.00,6.80,en,"Animation, Adventure, Comedy, Family"
01-05-2007,Spider-Man 3,186.13,11340.00,6.30,en,"Fantasy, Action, Adventure"
03-12-2021,Last Shoot Out,185.05,92.00,6.40,en,"Western, Action, Thriller"
21-07-2019,Sator,184.49,66.00,5.40,en,Horror
28-04-2010,Iron Man 2,183.14,17594.00,6.80,en,"Adventure, Action, Science Fiction"
25-12-2020,Soul,182.72,7736.00,8.20,en,"Animation, Comedy, Fantasy, Family"
14-05-2011,Pirates of the Caribbean: On Stranger Tides,182.13,11712.00,6.50,en,"Adventure, Action, Fantasy"
28-02-2021,Phobias,181.53,27.00,5.40,en,"Horror, Thriller"
21-05-2021,A Quiet Place Part II,181.39,3997.00,7.60,en,"Science Fiction, Thriller, Horror"
14-10-1972,What the Peeper Saw,181.32,19.00,5.70,it,"Horror, Drama, Thriller"
06-04-2023,Fast & Furious 10,181.22,0.00,0.00,en,"Action, Crime"
16-07-2012,The Dark Knight Rises,179.59,19126.00,7.80,en,"Action, Crime, Drama, Thriller"
26-11-2021,Trolls Holiday in Harmony,179.02,102.00,7.60,en,"Animation, Fantasy, Family"
23-03-2016,Batman v Superman: Dawn of Justice,178.21,15596.00,5.90,en,"Action, Adventure, Fantasy"
01-09-2021,Motherly,176.38,95.00,7.20,en,"Thriller, Horror"
18-03-2021,Nobody,175.07,4292.00,8.20,en,"Action, Crime, Thriller"
03-08-2018,My Hero Academia: Two Heroes,174.76,743.00,8.00,ja,"Animation, Action, Adventure, Fantasy"
07-07-2009,Harry Potter and the Half-Blood Prince,174.70,15861.00,7.70,en,"Adventure, Fantasy"
06-01-2022,Book of Love,174.48,20.00,5.30,en,"Comedy, Romance"
26-08-2021,Jurassic Hunt,174.42,180.00,5.00,en,"Action, Science Fiction, Thriller"
25-12-2021,American Underdog,173.96,54.00,7.20,en,Drama
14-07-2008,The Dark Knight,173.92,26994.00,8.50,en,"Drama, Action, Crime, Thriller"
24-02-2021,Jujutsu Kaisen 0,173.58,21.00,7.80,ja,"Animation, Action, Adventure, Mystery"
02-07-2020,Ava,173.21,1917.00,5.70,en,"Action, Crime, Drama, Thriller"
